"sample"	"%IncMSE"	"IncNodePurity"	"feature"
"sup45_wt_25C"	2.65128018082735	45.928261542381	"nt_p09"
"sup45_wt_25C"	1.15434435931019	35.2640159244462	"nt_p10"
"sup45_wt_25C"	3.23399612206987	30.8821360249582	"nt_p11"
"sup45_wt_25C"	0.583407787805055	37.0009978809486	"nt_p12"
"sup45_wt_25C"	0.228138506288532	39.8135913516694	"nt_p13"
"sup45_wt_25C"	-1.45947205746894	29.9839815351808	"nt_p14"
"sup45_wt_25C"	-0.331177686708348	39.0539813407065	"nt_p15"
"sup45_wt_25C"	-0.301957060669896	26.3596736117497	"nt_p16"
"sup45_wt_25C"	2.61957954919939	39.5201668097702	"nis_stop"
"sup45_wt_25C"	6.18072662069795	191.702556946319	"l_utr3"
"sup45_wt_25C"	0.283593903944923	95.2340087407759	"MFE"
"sup45_wt_25C"	1.74378318420858	62.0341676807114	"dist_bp"
"sup45_wt_25C"	0.183705227324899	30.839425083767	"random_factor"
"sup45_wt_25C"	-1.26722472420356	60.4847316695443	"random_num"
"sup45_wt_37C"	-0.973679004058351	17.4819110820194	"tunnel_lower_neg_charge"
"sup45_wt_37C"	1.18762603237474	16.1539713084912	"tunnel_lower_no_charge"
"sup45_wt_37C"	-0.667691333208869	19.1884272159316	"tunnel_lower_pos_charge"
"sup45_wt_37C"	1.48467171966814	10.7949977140781	"tunnel_lower_aromatic"
"sup45_wt_37C"	-0.220276666270693	22.5041702037481	"tunnel_lower_polar"
"sup45_wt_37C"	-0.824781254232535	17.9358557172965	"tunnel_lower_nonpolar"
"sup45_wt_37C"	-0.105211802607261	14.8908375879349	"tunnel_lower_v_hydrophobic"
"sup45_wt_37C"	-0.102479778158155	14.8537601574954	"tunnel_lower_hydrophobic"
"sup45_wt_37C"	0.82457144806072	23.6096396430294	"tunnel_lower_neutral"
"sup45_wt_37C"	-0.23738111985835	17.5005261343409	"tunnel_lower_hydrophilic"
"sup45_wt_37C"	-0.835611252180461	11.0892660182126	"tunnel_central_neg_charge"
"sup45_wt_37C"	-1.51559162259558	13.7956803116655	"tunnel_central_no_charge"
"sup45_wt_37C"	-0.0293957267895733	13.985218572183	"tunnel_central_pos_charge"
"sup45_wt_37C"	-0.751409513186365	13.2847457118142	"tunnel_central_aromatic"
"sup45_wt_37C"	1.18450433587329	19.1003662588133	"tunnel_central_polar"
"sup45_wt_37C"	0.0459475778231124	14.832286904442	"tunnel_central_nonpolar"
"sup45_wt_37C"	0.268461034209434	15.306537273634	"tunnel_central_v_hydrophobic"
"sup45_wt_37C"	0.955116505601294	7.94368354502986	"tunnel_central_hydrophobic"
"sup45_wt_37C"	0.424621510556661	14.1969063962679	"tunnel_central_neutral"
"sup45_wt_37C"	0.940069187866809	15.0617904806258	"tunnel_central_hydrophilic"
"sup45_wt_37C"	0.0305768503122885	6.09943789533753	"tunnel_constriction_neg_charge"
"sup45_wt_37C"	1.42196937697463	8.26511508121581	"tunnel_constriction_no_charge"
"sup45_wt_37C"	0.915919838133607	6.7749519884196	"tunnel_constriction_pos_charge"
"sup45_wt_37C"	-1.15775317381228	2.09540673479988	"tunnel_constriction_aromatic"
"sup45_wt_37C"	1.02435711218115	13.2058642263083	"tunnel_constriction_polar"
"sup45_wt_37C"	-0.10298102091418	13.4192271890161	"tunnel_constriction_nonpolar"
"sup45_wt_37C"	0.870788973471602	11.434806481076	"tunnel_constriction_v_hydrophobic"
"sup45_wt_37C"	1.61181136273324	8.18895365456009	"tunnel_constriction_hydrophobic"
"sup45_wt_37C"	1.10158777361102	9.90901220874585	"tunnel_constriction_neutral"
"sup45_wt_37C"	-0.166289152013835	10.9343160973191	"tunnel_constriction_hydrophilic"
"sup45_wt_37C"	0.509773470954681	15.6683986364071	"tunnel_lower_H_count"
"sup45_wt_37C"	1.31140481719121	19.7860703920317	"tunnel_upper_neg_charge"
"sup45_wt_37C"	-0.468352611259409	17.4966117410698	"tunnel_upper_no_charge"
"sup45_wt_37C"	0.000891865448073486	12.1713663331169	"tunnel_upper_pos_charge"
"sup45_wt_37C"	-0.491088404573991	7.11715362612664	"tunnel_upper_aromatic"
"sup45_wt_37C"	-0.224744669947118	21.9268194613662	"tunnel_upper_polar"
"sup45_wt_37C"	0.979890289060732	21.1276616006294	"tunnel_upper_nonpolar"
"sup45_wt_37C"	1.19217657820566	12.4201461100509	"tunnel_upper_v_hydrophobic"
"sup45_wt_37C"	2.13301892190186	23.5840325522791	"tunnel_upper_hydrophobic"
"sup45_wt_37C"	0.93069328064382	21.0473247449746	"tunnel_upper_neutral"
"sup45_wt_37C"	-0.696428392480984	16.0313876088439	"tunnel_upper_hydrophilic"
"sup45_wt_37C"	0.706789131611924	183.647375129295	"aa_m02"
"sup45_wt_37C"	0.88353942974324	195.851888136025	"aa_m01"
"sup45_wt_37C"	-0.930988173359914	30.0183886169226	"nt_m01"
"sup45_wt_37C"	1.47580131652399	12.1271755807013	"nt_m02"
"sup45_wt_37C"	1.18859895779029	41.0724043516337	"nt_m03"
"sup45_wt_37C"	-1.20611907772787	25.1061536280337	"nt_m04"
"sup45_wt_37C"	1.46766603419569	19.4171342933555	"nt_m05"
"sup45_wt_37C"	-0.414419993655155	17.2669973814018	"nt_m06"
"sup45_wt_37C"	-0.978593163610569	19.9500256970787	"nt_m07"
"sup45_wt_37C"	0.695316847293135	23.8603287598018	"nt_m08"
"sup45_wt_37C"	1.07838255881083	19.7144466971867	"nt_m09"
"sup45_wt_37C"	0.468531081614591	28.8641705015717	"nt_m10"
"sup45_wt_37C"	-1.26800619775845	17.5853109977445	"nt_m11"
"sup45_wt_37C"	0.443046221842847	24.2775538657442	"nt_m12"
"sup45_wt_37C"	-0.115774116906235	26.1477035466738	"nt_m13"
"sup45_wt_37C"	-0.291117718618329	22.3802606568997	"nt_m14"
"sup45_wt_37C"	-0.134917746362367	20.4196841260977	"nt_m15"
"sup45_wt_37C"	-0.23322942739309	17.6906391735287	"nt_m16"
"sup45_wt_37C"	-0.421304590319764	25.64948693911	"nt_m17"
"sup45_wt_37C"	1.8598616286552	25.9972695760934	"nt_m18"
"sup45_wt_37C"	2.33537954123918	43.8528673855866	"stop_codon"
"sup45_wt_37C"	3.62397023419698	29.2474131984836	"nt_p04"
"sup45_wt_37C"	1.20978513842593	29.8546820955139	"nt_p05"
"sup45_wt_37C"	1.21978170300932	25.1227653300635	"nt_p06"
"sup45_wt_37C"	1.77741422591633	44.8316209107668	"nt_p07"
"sup45_wt_37C"	-0.155862143434945	25.5797818334327	"nt_p08"
"sup45_wt_37C"	1.092892862448	35.6689184860959	"nt_p09"
"sup45_wt_37C"	0.216027129556093	19.4696636759424	"nt_p10"
"sup45_wt_37C"	0.982673125429353	22.3878805048222	"nt_p11"
"sup45_wt_37C"	0.436481424955094	26.5942281400044	"nt_p12"
"sup45_wt_37C"	1.53374808831488	25.7161955810252	"nt_p13"
"sup45_wt_37C"	-1.32173330758293	22.1344569431541	"nt_p14"
"sup45_wt_37C"	0.810739299177595	27.6825717400014	"nt_p15"
"sup45_wt_37C"	-0.532491742147751	40.0631200650672	"nt_p16"
"sup45_wt_37C"	1.79241064456654	20.8104325680732	"nis_stop"
"sup45_wt_37C"	1.75902598486224	81.9733434876877	"l_utr3"
"sup45_wt_37C"	3.83734328046407	104.054755812076	"MFE"
"sup45_wt_37C"	0.643613396208836	41.2356637571605	"dist_bp"
"sup45_wt_37C"	-0.454263819577305	24.456826103721	"random_factor"
"sup45_wt_37C"	-0.132911376426813	34.858113976003	"random_num"
"sup45_ts_25C"	-1.53788843223176	32.439833534255	"tunnel_lower_neg_charge"
"sup45_ts_25C"	1.333256409346	40.1031839080169	"tunnel_lower_no_charge"
"sup45_ts_25C"	-0.576620774237432	30.729236440923	"tunnel_lower_pos_charge"
"sup45_ts_25C"	0.520411293096703	20.2071212830783	"tunnel_lower_aromatic"
"sup45_ts_25C"	0.512985458971138	44.1447051440292	"tunnel_lower_polar"
"sup45_ts_25C"	0.357098506110272	39.479181592818	"tunnel_lower_nonpolar"
"sup45_ts_25C"	0.697360400569865	34.0084168309165	"tunnel_lower_v_hydrophobic"
"sup45_ts_25C"	0.544591881986408	30.6962595391126	"tunnel_lower_hydrophobic"
"sup45_ts_25C"	0.0294624467109871	35.7086804060132	"tunnel_lower_neutral"
"sup45_ts_25C"	-1.26615229584087	44.3450885064249	"tunnel_lower_hydrophilic"
"sup45_ts_25C"	0.172530939179279	17.8581680404532	"tunnel_central_neg_charge"
"sup45_ts_25C"	0.442267828898576	27.6681423583843	"tunnel_central_no_charge"
"sup45_ts_25C"	1.32205987080435	26.2249685822668	"tunnel_central_pos_charge"
"sup45_ts_25C"	-1.91082381258333	14.7643452917259	"tunnel_central_aromatic"
"sup45_ts_25C"	-0.0107330801043242	33.4953764038532	"tunnel_central_polar"
"sup45_ts_25C"	1.21233339846644	29.5981415386203	"tunnel_central_nonpolar"
"sup45_ts_25C"	0.381479773553519	24.8789066312754	"tunnel_central_v_hydrophobic"
"sup45_ts_25C"	-0.0821519046039126	18.9926555104359	"tunnel_central_hydrophobic"
"sup45_ts_25C"	2.3348965800991	28.8409134690397	"tunnel_central_neutral"
"sup45_ts_25C"	1.03904255592827	25.6886978231381	"tunnel_central_hydrophilic"
"sup45_ts_25C"	0.870162859052321	11.5473772599044	"tunnel_constriction_neg_charge"
"sup45_ts_25C"	0.181555383108032	17.7877963304769	"tunnel_constriction_no_charge"
"sup45_ts_25C"	-0.857965784052934	14.6422745296659	"tunnel_constriction_pos_charge"
"sup45_ts_25C"	0.923264672571793	10.2513055579732	"tunnel_constriction_aromatic"
"sup45_ts_25C"	0.696989253313583	19.5023157759407	"tunnel_constriction_polar"
"sup45_ts_25C"	-0.7539498595811	20.5016596795693	"tunnel_constriction_nonpolar"
"sup45_ts_25C"	0.492446460155039	17.7918398410466	"tunnel_constriction_v_hydrophobic"
"sup45_ts_25C"	0.238123409625266	13.2026961817147	"tunnel_constriction_hydrophobic"
"sup45_ts_25C"	1.11255494668626	15.5764396930702	"tunnel_constriction_neutral"
"sup45_ts_25C"	-0.345824088101052	22.5874638055936	"tunnel_constriction_hydrophilic"
"sup45_ts_25C"	-0.303749932468374	31.3490998494373	"tunnel_lower_H_count"
"sup45_ts_25C"	-0.480390603606421	28.0078698576701	"tunnel_upper_neg_charge"
"sup45_ts_25C"	-0.376682817327201	29.8118619201076	"tunnel_upper_no_charge"
"sup45_ts_25C"	1.39882877052704	30.8620685635798	"tunnel_upper_pos_charge"
"sup45_ts_25C"	0.851290015129675	20.2305536326685	"tunnel_upper_aromatic"
"sup45_ts_25C"	1.75675207290535	28.5118313133286	"tunnel_upper_polar"
"sup45_ts_25C"	-1.28572592929289	29.9737004964796	"tunnel_upper_nonpolar"
"sup45_ts_25C"	-0.834183447606313	29.2702830826506	"tunnel_upper_v_hydrophobic"
"sup45_ts_25C"	0.55682985863691	31.5436292719106	"tunnel_upper_hydrophobic"
"sup45_ts_25C"	0.367785490653478	43.47186570051	"tunnel_upper_neutral"
