"Sample"	"mean"	"sd"
"sup45_wt_25C"	0.158863100600387	0.00745201934232039
"sup45_wt_37C"	0.150364169866959	0.00690878517543208
"sup45_ts_25C"	0.151957363582689	0.00508016213309141
"sup45_ts_37C"	0.143099429336138	0.00311769904568108
"sup45_wt"	0.141161540594866	0.00506830772144745
"sup45_d"	0.145119193648245	0.00316630455944057
"rli1_wt"	0.111736750142247	0.00723995339300473
"rli1_d"	0.106404920580497	0.00480415708249357
