"sample"	"High"	"Low"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"	"feature"
"sup45_wt_25C"	-0.228551508693393	-0.205907915026099	-0.412093628390126	0.70955055100512	"tunnel_lower_neg_charge"
"sup45_wt_25C"	-1.3131752077164	1.08009143075785	-0.15744976296492	1.05624501724288	"tunnel_lower_no_charge"
"sup45_wt_25C"	2.77792475091673	0.850004200550474	2.31359674563291	1.10012163897722	"tunnel_lower_pos_charge"
"sup45_wt_25C"	0.55659605854681	0.118069522234882	0.330802821451089	0.589176176458362	"tunnel_lower_aromatic"
"sup45_wt_25C"	0.125842501274914	0.968117808105671	0.843842056722696	1.53274816557481	"tunnel_lower_polar"
"sup45_wt_25C"	1.81965155255099	1.57449186646987	2.30653752022497	1.33592334254417	"tunnel_lower_nonpolar"
"sup45_wt_25C"	-1.25428323001105	-0.0576092916029476	-0.794575781316608	1.01117059130961	"tunnel_lower_v_hydrophobic"
"sup45_wt_25C"	1.1067092373257	1.69829492766626	1.71953042613131	1.03898117865419	"tunnel_lower_hydrophobic"
"sup45_wt_25C"	0.523308807861971	-1.01858991939803	-0.647865454679298	1.11827805132439	"tunnel_lower_neutral"
"sup45_wt_25C"	-1.20456977133664	0.773465456446105	-0.224926680322623	1.08228710309128	"tunnel_lower_hydrophilic"
"sup45_wt_25C"	1.36505212450112	-0.895903838243576	0.586180157834694	0.575592085750779	"tunnel_central_neg_charge"
"sup45_wt_25C"	-0.188134325851108	0.474860566449695	0.158055778642332	0.605861576253652	"tunnel_central_no_charge"
"sup45_wt_25C"	-0.6288840104373	-0.678083639921612	-0.976396522081657	0.580627051576999	"tunnel_central_pos_charge"
"sup45_wt_25C"	-0.271486821445474	0.42783926927269	0.12430698651385	0.417157731013799	"tunnel_central_aromatic"
"sup45_wt_25C"	1.79064061819534	-1.3820988970472	0.265890265749433	0.583103941405925	"tunnel_central_polar"
"sup45_wt_25C"	-1.13105604455507	-0.379245053533024	-1.5157536861427	0.720618562179139	"tunnel_central_nonpolar"
"sup45_wt_25C"	0.142737384157769	-0.567755125876686	-0.199258365983644	1.06152275364042	"tunnel_central_v_hydrophobic"
"sup45_wt_25C"	-0.495076660470965	-0.735481515153764	-0.73168673442589	0.667395142684776	"tunnel_central_hydrophobic"
"sup45_wt_25C"	1.17996985776342	1.27940580531086	1.51807228098491	0.946065772714598	"tunnel_central_neutral"
"sup45_wt_25C"	0.956971508350131	1.15655712980719	1.51290135218248	1.27374961396199	"tunnel_central_hydrophilic"
"sup45_wt_25C"	-0.41563781561543	0.57932202565006	0.073762891186941	0.26355292503627	"tunnel_constriction_neg_charge"
"sup45_wt_25C"	-0.303242494935391	-1.26364532797099	-1.51347206792876	0.458344390830495	"tunnel_constriction_no_charge"
"sup45_wt_25C"	-0.937091696724118	0.604564935930867	0.0122612716683585	0.615154008933264	"tunnel_constriction_pos_charge"
"sup45_wt_25C"	0.829788026807657	1.66510194774613	1.54664028100073	0.264551779277189	"tunnel_constriction_aromatic"
"sup45_wt_25C"	0.0130987183983129	-0.507341271248599	-0.430246181991921	0.395325458237272	"tunnel_constriction_polar"
"sup45_wt_25C"	0.255582047441763	-0.986121053990945	-0.488399191862149	0.451689305971136	"tunnel_constriction_nonpolar"
"sup45_wt_25C"	0.183428342338329	0.926384269648154	0.696605557428382	0.618927140172518	"tunnel_constriction_v_hydrophobic"
"sup45_wt_25C"	-0.373693561843968	-0.531391114428057	-0.519791587839558	0.351617367495525	"tunnel_constriction_hydrophobic"
"sup45_wt_25C"	-1.05852237332804	-0.331330372439822	-0.759189058131636	0.299302318325293	"tunnel_constriction_neutral"
"sup45_wt_25C"	0.05803927660621	-1.34288814293808	-1.42409438172434	0.423917395104895	"tunnel_constriction_hydrophilic"
"sup45_wt_25C"	-1.3049088273139	-1.78247303882023	-1.96842322726378	1.10362617419166	"tunnel_lower_H_count"
"sup45_wt_25C"	-1.64435589144951	0.638864184499103	-0.856561534378803	0.419149934638927	"tunnel_upper_neg_charge"
"sup45_wt_25C"	-0.91959379607299	-0.072074137872616	-0.76942665155119	0.733976528261933	"tunnel_upper_no_charge"
"sup45_wt_25C"	1.8107697200373	0.716806185746014	1.658593171032	0.631702974261442	"tunnel_upper_pos_charge"
"sup45_wt_25C"	0.00962909096695546	2.56071873701508	1.72777515191357	1.24146892633424	"tunnel_upper_aromatic"
"sup45_wt_25C"	0.796949842646154	0.374293529080304	0.772066944379581	0.984751765231457	"tunnel_upper_polar"
"sup45_wt_25C"	-1.11038678747192	-0.697882327273349	-1.29981729875425	1.11394262091843	"tunnel_upper_nonpolar"
"sup45_wt_25C"	1.16335056143158	1.20424146306264	1.51048230719844	0.732238010534226	"tunnel_upper_v_hydrophobic"
"sup45_wt_25C"	0.94674097070094	0.424483362061147	1.21146505603281	0.723151163496988	"tunnel_upper_hydrophobic"
"sup45_wt_25C"	0.593260612809182	-0.910402143883865	0.128397538884783	0.417805733233196	"tunnel_upper_neutral"
"sup45_wt_25C"	0.0776401006627183	-0.698841505361791	-0.502799392585043	0.888196943503282	"tunnel_upper_hydrophilic"
"sup45_wt_25C"	0.942436444629326	2.55264533419313	2.63949593220841	15.6466050799388	"aa_m02"
"sup45_wt_25C"	1.9013827635608	1.55290365819645	2.3793643707969	18.9901115318411	"aa_m01"
"sup45_wt_25C"	2.09365687031739	1.74196831697227	2.48762673667805	2.37027504649155	"nt_m01"
"sup45_wt_25C"	1.7025109198968	1.53922802218962	2.28037570882102	0.76382058845889	"nt_m02"
