"sample"	"ROC"	"sd"
"sup45_wt_25C"	0.75648	0.101220709343494
"sup45_wt_37C"	0.740138408304498	0.0407291570958278
"sup45_ts_25C"	0.755474159726353	0.0775606572789677
"sup45_ts_37C"	0.764103783783784	0.0311773419294352
"sup45_wt"	0.78137138327388	0.0647927437255136
"sup45_d"	0.825114806767752	0.0402087503996612
"rli1_wt"	0.725562983814215	0.0644110004139173
"rli1_d"	0.764228597449909	0.0377996267277166
