"sample"	"psite_region"	"frame"	"fraction_mean"	"fraction_sd"	"fraction_sem"
"sup45_wt_25C"	"5'-UTR"	"0"	0.166941431495892	0.0195550096149813	0.0138274799049214
"sup45_wt_25C"	"5'-UTR"	"1"	0.224103828857662	0.0451070583745623	0.0318955068560304
"sup45_wt_25C"	"5'-UTR"	"2"	0.608954739646445	0.0646620679895435	0.0457229867609518
"sup45_wt_25C"	"CDS"	"0"	0.706607382743611	0.0361682023819741	0.0255747811676214
"sup45_wt_25C"	"CDS"	"1"	0.198474120923475	0.00370964194154676	0.00262311297264174
"sup45_wt_25C"	"CDS"	"2"	0.0949184963329144	0.0324585604404274	0.0229516681949796
"sup45_wt_25C"	"Extension"	"0"	0.372768653021245	0.0127233341986486	0.00899675589116711
"sup45_wt_25C"	"Extension"	"1"	0.357742225870131	0.000169933340410793	0.000120161017354153
"sup45_wt_25C"	"Extension"	"2"	0.269489121108624	0.0128932675390594	0.00911691690852129
"sup45_wt_25C"	"Distal 3'-UTR"	"0"	0.251958064024722	0.00187967820769813	0.00132913320711192
"sup45_wt_25C"	"Distal 3'-UTR"	"1"	0.320081717481665	0.00050704377358699	0.000358534090661777
"sup45_wt_25C"	"Distal 3'-UTR"	"2"	0.427960218493613	0.00137263443411114	0.000970599116450144
"sup45_wt_37C"	"5'-UTR"	"0"	0.160827041284744	0.00158962477710782	0.0011240344594351
"sup45_wt_37C"	"5'-UTR"	"1"	0.19017200033077	0.00395813196091929	0.00279882195039724
"sup45_wt_37C"	"5'-UTR"	"2"	0.649000958384486	0.00554775673802716	0.00392285640983236
"sup45_wt_37C"	"CDS"	"0"	0.727626584389335	0.0387739109648679	0.0274172953763815
"sup45_wt_37C"	"CDS"	"1"	0.184026628974588	0.0294449793237086	0.020820744551692
"sup45_wt_37C"	"CDS"	"2"	0.0883467866360779	0.00932893164115935	0.00659655082468952
"sup45_wt_37C"	"Extension"	"0"	0.348946476820278	0.0557040368732988	0.0393887022125751
"sup45_wt_37C"	"Extension"	"1"	0.351452441773578	0.0170105850260277	0.0120283000238545
"sup45_wt_37C"	"Extension"	"2"	0.299601081406144	0.0386934518472711	0.0273604021887205
"sup45_wt_37C"	"Distal 3'-UTR"	"0"	0.26082340477519	0.00603741580857301	0.00426909765908484
"sup45_wt_37C"	"Distal 3'-UTR"	"1"	0.35131633170319	0.00371541215034364	0.00262719312641088
"sup45_wt_37C"	"Distal 3'-UTR"	"2"	0.38786026352162	0.00975282795891666	0.00689629078549572
"sup45_ts_25C"	"5'-UTR"	"0"	0.152302434905957	0.0277619323109324	0.0196306505959022
"sup45_ts_25C"	"5'-UTR"	"1"	0.217037564659232	0.0030191691207294	0.00213487495881678
"sup45_ts_25C"	"5'-UTR"	"2"	0.630660000434811	0.024742763190203	0.0174957756370854
"sup45_ts_25C"	"CDS"	"0"	0.646510070450639	0.0128412023219427	0.00908010124043412
"sup45_ts_25C"	"CDS"	"1"	0.189784186188878	0.050034125808871	0.0353794696501935
"sup45_ts_25C"	"CDS"	"2"	0.163705743360483	0.0628753281308137	0.0444595708906276
"sup45_ts_25C"	"Extension"	"0"	0.402183091850062	0.0271526133291963	0.0191997970120109
"sup45_ts_25C"	"Extension"	"1"	0.32797864100982	0.0189925334171761	0.0134297491711973
"sup45_ts_25C"	"Extension"	"2"	0.269838267140118	0.00816007991202024	0.00577004784081364
"sup45_ts_25C"	"Distal 3'-UTR"	"0"	0.249382924370556	0.00531058539270508	0.00375515094325199
"sup45_ts_25C"	"Distal 3'-UTR"	"1"	0.3489118137491	0.0161757243474912	0.0114379643767154
