length	total_percentage	start_percentage	around_start	offset_from_5	offset_from_3	corrected_offset_from_5	corrected_offset_from_3	sample
32	1.544	1.169	TRUE	14	17	14	17	rli1_d_311
33	0.401	0.194	TRUE	14	18	17	15	rli1_d_311
34	0.12	0.045	TRUE	18	15	18	15	rli1_d_311
35	0.08	0.014	TRUE	19	15	19	15	rli1_d_311
36	0.099	0.004	TRUE	18	17	20	15	rli1_d_311
37	0.021	0.001	TRUE	13	23	19	17	rli1_d_311
38	0.005	0.001	TRUE	10	27	22	15	rli1_d_311
39	0.001	0	FALSE	NA	NA	23	15	rli1_d_311
40	0	0	FALSE	NA	NA	24	15	rli1_d_311
41	0	0	FALSE	NA	NA	25	15	rli1_d_311
42	0	0	FALSE	NA	NA	26	15	rli1_d_311
43	0	0	FALSE	NA	NA	27	15	rli1_d_311
47	0	0	FALSE	NA	NA	31	15	rli1_d_311
48	0	0	FALSE	NA	NA	32	15	rli1_d_311
15	0.046	0.004	TRUE	6	8	3	11	rli1_d_312
16	0.097	0.026	TRUE	13	2	3	12	rli1_d_312
17	0.119	0.065	TRUE	1	15	6	10	rli1_d_312
18	0.215	0.307	TRUE	2	15	2	15	rli1_d_312
19	0.409	0.615	TRUE	3	15	3	15	rli1_d_312
20	0.682	1.369	TRUE	4	15	4	15	rli1_d_312
21	1.235	2.543	TRUE	5	15	5	15	rli1_d_312
22	1.677	2.385	TRUE	6	15	6	15	rli1_d_312
23	1.779	2.509	TRUE	7	15	7	15	rli1_d_312
24	2.002	3.085	TRUE	8	15	8	15	rli1_d_312
25	2.324	2.761	TRUE	9	15	9	15	rli1_d_312
26	2.507	2.526	TRUE	10	15	10	15	rli1_d_312
27	4.822	4.676	TRUE	11	15	11	15	rli1_d_312
28	23.057	28.249	TRUE	12	15	12	15	rli1_d_312
29	31.66	27.547	TRUE	13	15	13	15	rli1_d_312
30	19.375	15.384	TRUE	14	15	14	15	rli1_d_312
31	5.748	4.505	TRUE	13	17	14	16	rli1_d_312
32	1.531	1.17	TRUE	14	17	14	17	rli1_d_312
33	0.395	0.206	TRUE	15	17	17	15	rli1_d_312
34	0.119	0.046	TRUE	18	15	18	15	rli1_d_312
35	0.079	0.013	TRUE	19	15	19	15	rli1_d_312
36	0.096	0.007	TRUE	20	15	20	15	rli1_d_312
37	0.019	0.002	TRUE	21	15	21	15	rli1_d_312
38	0.005	0	TRUE	35	2	18	19	rli1_d_312
39	0.001	0	FALSE	NA	NA	23	15	rli1_d_312
40	0	0	TRUE	17	22	24	15	rli1_d_312
41	0	0	FALSE	NA	NA	25	15	rli1_d_312
42	0	0	FALSE	NA	NA	26	15	rli1_d_312
43	0	0	FALSE	NA	NA	27	15	rli1_d_312
44	0	0	FALSE	NA	NA	28	15	rli1_d_312
47	0	0	FALSE	NA	NA	31	15	rli1_d_312
15	0.339	0.006	TRUE	12	2	2	12	rli1_d_319
16	0.232	0.013	TRUE	3	12	3	12	rli1_d_319
17	0.111	0.027	TRUE	1	15	5	11	rli1_d_319
18	0.159	0.068	TRUE	2	15	2	15	rli1_d_319
19	0.156	0.153	TRUE	3	15	3	15	rli1_d_319
20	0.415	0.575	TRUE	4	15	4	15	rli1_d_319
21	0.791	1.362	TRUE	5	15	5	15	rli1_d_319
22	1.352	1.628	TRUE	6	15	6	15	rli1_d_319
23	2.027	2.542	TRUE	7	15	7	15	rli1_d_319
24	3.069	4.075	TRUE	8	15	8	15	rli1_d_319
25	4.111	5.047	TRUE	9	15	9	15	rli1_d_319
26	4.869	5.175	TRUE	10	15	10	15	rli1_d_319
27	10.555	11.334	TRUE	11	15	11	15	rli1_d_319
28	33.016	40.446	TRUE	12	15	12	15	rli1_d_319
29	27.323	21.886	TRUE	13	15	13	15	rli1_d_319
30	8.481	4.119	TRUE	14	15	14	15	rli1_d_319
31	1.527	0.686	TRUE	15	15	15	15	rli1_d_319
32	0.248	0.186	TRUE	16	15	16	15	rli1_d_319
33	0.162	0.105	TRUE	17	15	17	15	rli1_d_319
34	0.117	0.075	TRUE	18	15	18	15	rli1_d_319
35	0.103	0.053	TRUE	13	21	19	15	rli1_d_319
36	0.15	0.04	TRUE	12	23	20	15	rli1_d_319
37	0.087	0.033	TRUE	13	23	24	12	rli1_d_319
38	0.053	0.031	TRUE	13	24	22	15	rli1_d_319
39	0.052	0.029	TRUE	12	26	23	15	rli1_d_319
40	0.039	0.032	TRUE	25	14	25	14	rli1_d_319
41	0.044	0.036	TRUE	9	31	25	15	rli1_d_319
42	0.054	0.04	TRUE	39	2	26	15	rli1_d_319
43	0.066	0.042	TRUE	23	19	29	13	rli1_d_319
44	0.107	0.042	TRUE	39	4	29	14	rli1_d_319
45	0.07	0.041	TRUE	1	43	30	14	rli1_d_319
46	0.058	0.039	TRUE	21	24	30	15	rli1_d_319
47	0.057	0.037	TRUE	5	41	33	13	rli1_d_319
